Sig_Gene	Cell_type	Level	Rank	Mean	Std	Cell_type_unseparated
Dlc1	Peri	0	1	19.299338909711054	9.860638599545705	
Atp13a5	Peri	0	2	11.849271575460852	6.352883358080163	
Adap2	Peri	0	3	5.101805649168111	2.8786794648050575	
Plcl1	Peri	0	4	19.313923256670005	11.159977313113158	
Cald1	Peri	0	5	8.205390670169319	4.815133608195636	
Atp1a2	Peri	0	6	11.311047094598758	6.774223350133232	
Myo1b	Peri	0	7	4.954890607653985	2.969283442023341	
Pde8b	Peri	0	8	11.25824360661674	6.840367130090912	
Pitpnc1	Peri	0	9	11.699731217744807	7.188303371287023	
Pdgfrb	Peri	0	10	4.5408880134886935	2.9422256308976382	
Vtn	Peri	0	11	13.529127465834817	9.243771649595516	
Il34	Peri	0	12	4.821571281115317	3.4341737492798874	
Tbx3os1	Peri	0	13	4.408135478506068	3.2382878573920504	
Arhgap42	Peri	0	14	3.939568744819679	2.903239192812644	
Pld1	Peri	0	15	3.0710177571407367	2.313072896466534	
Slc38a11	Peri	0	16	3.6721693317809465	2.8248309868650683	
Dock6	Peri	0	17	2.958214586058723	2.308181837918406	
Colec12	Peri	0	18	4.726719038305821	3.7253579786614854	
Adap2os	Peri	0	19	2.0477985338755476	1.6307766776903838	
Lama2	Peri	0	20	3.427109615086737	2.750678438474092	
Phldb2	Peri	0	21	2.861703428692229	2.3090522411322154	
Notch3	Peri	0	22	3.7528894367273002	3.03427166648414	
Abcc9	Peri	0	23	4.437543052006116	3.6550278369791487	
Arhgap6	Peri	0	24	4.182439525015704	3.5504533700994316	
Egflam	Peri	0	25	1.9799410733192855	1.7086022282874147	
Slc6a20a	Peri	0	26	4.9454747167639885	4.334539636889435	
Art3	Peri	0	27	2.4689021552422052	2.1781267015610672	
Gm14005	Peri	0	28	2.671515811674928	2.3589837859106617	
Map3k20	Peri	0	29	1.7245085424411037	1.5373300404607835	
Slc16a12	Peri	0	30	2.68847284271102	2.451805241051522	
Carmn	Peri	0	31	2.055781922068261	1.8832270204181187	
Zfhx3	Peri	0	32	1.475244668265642	1.382192601892035	
Airn	Peri	0	33	3.163213605888412	2.987851274252534	
Sntb1	Peri	0	34	2.2987656089842363	2.1826387515673757	
Ecm2	Peri	0	35	1.521601606596863	1.450130510861189	
Stard8	Peri	0	36	1.6010872422044529	1.5364715357531349	
Limd1	Peri	0	37	1.3498680303223698	1.2987243941409794	
Slc30a10	Peri	0	38	1.1207155461046485	1.090493305697228	
Rcsd1	Peri	0	39	1.5093956568154958	1.4771518684617517	
Cped1	Peri	0	40	1.9720777535746794	1.9308266852515388	
Plekhg3	Peri	0	41	1.4513005957435907	1.4343104883222522	
Nid1	Peri	0	42	1.4321785699984078	1.4167408567010245	
Ano1	Peri	0	43	2.3390002284060807	2.375338825901817	
Ror1	Peri	0	44	2.329009373580302	2.3752706073441976	
Zic1	Peri	0	45	1.5389323446632797	1.5850632563382736	
Pald1	Peri	0	46	1.1073168268005833	1.1650211030781017	
Mylk	Peri	0	47	1.307828625961154	1.3761265918881989	
Gm14964	Peri	0	48	1.0848160349354592	1.1426392217410333	
Pth1r	Peri	0	49	0.8489799277910401	0.9055420834775895	
Daam2	Peri	0	50	1.3441884538678583	1.4348309838525608	
Ndufa4l2	Peri	0	51	1.4978208939985298	1.612471263254978	
Zic4	Peri	0	52	1.0455083767516684	1.1316594008021552	
Lamc3	Peri	0	53	1.1452953365142045	1.248467950235601	
Ggt5	Peri	0	54	0.9380436840446021	1.0249402312461156	
Sdc2	Peri	0	55	1.769745854036635	1.9387174045977695	
Cp	Peri	0	56	1.7771242389616784	1.9753917999490889	
Kcnj8	Peri	0	57	1.9423962460091047	2.237782794489232	
Ednra	Peri	0	58	1.000515498058643	1.1576848317036679	
Mrvi1	Peri	0	59	0.8809129497274073	1.0338122139000498	
Higd1b	Peri	0	60	1.2027277322072298	1.437838093133241	
Gm15261	Peri	0	61	1.7084866658833553	2.0524572770243847	
Gm36823	Peri	0	62	1.4853593972976227	1.8119336739883516	
Slc19a1	Peri	0	63	0.7435401518684376	0.9174635594045547	
Pla1a	Peri	0	64	1.1629145897354716	1.43829150091233	
Myl9	Peri	0	65	1.7986844889453149	2.230646186222299	
Gstt2	Peri	0	66	0.7624720072841743	0.94957245557929	
Cox4i2	Peri	0	67	0.8567937442387427	1.076714526717252	
Dcdc2a	Peri	0	68	1.449416130263156	1.83036488914487	
